dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
cifar100,joint,2934784_1,9,0.6346758328951322,0.6643356643356644,0.0286
cifar100,joint,2934784_1,10,0.7016821539364403,0.6656151419558359,0.0317
cifar100,joint,2934784_1,11,0.7692631839625425,0.7643504531722054,0.0331
cifar100,joint,2934784_1,12,0.8351685547992348,0.8260869565217391,0.0437
cifar100,joint,2934784_1,13,0.9040059261184802,0.9064748201438849,0.0695
cifar100,joint,2934784_1,14,0.9905398269584276,0.988829185520362,0.7072
cifar100,joint,2917148_4,0,0.0,0.0,0.0
cifar100,joint,2917148_4,1,0.0,0.0,0.0
cifar100,joint,2917148_4,2,0.180497944355011,0.16666666666666666,0.0006
cifar100,joint,2917148_4,3,0.2317873527263773,0.1724137931034483,0.0029
cifar100,joint,2917148_4,4,0.30417641003926593,0.25,0.0072
cifar100,joint,2917148_4,5,0.37179674960599085,0.39603960396039606,0.0101
cifar100,joint,2917148_4,6,0.4368484107247234,0.44525547445255476,0.0137
cifar100,joint,2917148_4,7,0.5023275026133363,0.4507042253521127,0.0213
cifar100,joint,2917148_4,8,0.5669169643469024,0.5649122807017544,0.0285
cifar100,joint,2917148_4,9,0.6317697582822858,0.5492424242424242,0.0264
cifar100,joint,2917148_4,10,0.7029333176955678,0.7287581699346405,0.0306
cifar100,joint,2917148_4,11,0.7683848124616456,0.7462235649546828,0.0331
cifar100,joint,2917148_4,12,0.8359499517476784,0.8231132075471698,0.0424
cifar100,joint,2917148_4,13,0.9034273401535942,0.8937677053824362,0.0706
cifar100,joint,2917148_4,14,0.9902010737528066,0.988492843109739,0.7126
cifar100,joint,2931764_0,0,0.0,0.0,0.0
cifar100,joint,2931764_0,1,0.09822277228037517,0.0,0.0003
cifar100,joint,2931764_0,2,0.18110623624589708,0.1111111111111111,0.0009
cifar100,joint,2931764_0,3,0.23390069821985757,0.21951219512195122,0.0041
cifar100,joint,2931764_0,4,0.30593790326799664,0.30357142857142855,0.0056
cifar100,joint,2931764_0,5,0.3702301718971946,0.3181818181818182,0.011
cifar100,joint,2931764_0,6,0.43641248849722053,0.4461538461538462,0.013
cifar100,joint,2931764_0,7,0.503163349578984,0.5352697095435685,0.0241
cifar100,joint,2931764_0,8,0.5648896889608415,0.5614754098360656,0.0244
cifar100,joint,2931764_0,9,0.6331686769478052,0.6381322957198443,0.0257
cifar100,joint,2931764_0,10,0.6998739531545928,0.7104377104377104,0.0297
cifar100,joint,2931764_0,11,0.7685471919544956,0.7602339181286549,0.0342
cifar100,joint,2931764_0,12,0.8367161322996444,0.8336980306345733,0.0457
cifar100,joint,2931764_0,13,0.904219970703125,0.8942857142857142,0.07
cifar100,joint,2931764_0,14,0.9902881937122171,0.9890341628005062,0.7113
cifar100,joint,2934796_2,0,0.0,0.0,0.0
cifar100,joint,2934796_2,1,0.10545006394386292,0.0,0.0002
cifar100,joint,2934796_2,2,0.16250857710838318,0.25,0.0008
cifar100,joint,2934796_2,3,0.23790272544412053,0.11764705882352941,0.0034
cifar100,joint,2934796_2,4,0.3023245755363913,0.29411764705882354,0.0068
cifar100,joint,2934796_2,5,0.369074954781481,0.3118279569892473,0.0093
cifar100,joint,2934796_2,6,0.4356993061222442,0.4383561643835616,0.0146
cifar100,joint,2934796_2,7,0.5052560538299813,0.5289256198347108,0.0242
cifar100,joint,2934796_2,8,0.566964371873456,0.5454545454545454,0.0253
cifar100,joint,2934796_2,9,0.6307506000294405,0.5772058823529411,0.0272
