dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
core50,ball,4,5,0.3655309153934071,0.30510105871029836,0.1039
core50,ball,4,6,0.4323847503832218,0.36231884057971014,0.0897
core50,ball,4,7,0.4997764495481928,0.3927710843373494,0.083
core50,ball,4,8,0.5659509296507065,0.42700156985871274,0.0637
core50,ball,4,9,0.6324554343953583,0.46416938110749184,0.0614
core50,ball,4,10,0.6994299988140418,0.5142314990512334,0.0527
core50,ball,4,11,0.7666748522782652,0.4853801169590643,0.0513
core50,ball,4,12,0.8337190283964365,0.5100222717149221,0.0449
core50,ball,4,13,0.9000005559179317,0.540796963946869,0.0527
core50,ball,4,14,0.9700510723990683,0.6099378881987577,0.0805
core50,clora,2,0,0.0,0.0,0.0
core50,clora,2,1,0.11883453889326616,0.11363636363636363,0.0044
core50,clora,2,2,0.17418510301978188,0.15486725663716813,0.0452
core50,clora,2,3,0.23472042882736976,0.18259935553168635,0.0931
core50,clora,2,4,0.30040339635989394,0.22172351885098743,0.1114
core50,clora,2,5,0.36579361812775907,0.24907063197026022,0.1076
core50,clora,2,6,0.43293376511557463,0.27794561933534745,0.0993
core50,clora,2,7,0.4989787377870286,0.3515815085158151,0.0822
core50,clora,2,8,0.565651252373679,0.37912813738441214,0.0757
core50,clora,2,9,0.634718015673752,0.3962558502340094,0.0641
core50,clora,2,10,0.6990696853611789,0.43463497453310695,0.0589
core50,clora,2,11,0.7661698100722839,0.4355140186915888,0.0535
core50,clora,2,12,0.8312574817288306,0.478494623655914,0.0558
core50,clora,2,13,0.9019002019885235,0.48330683624801274,0.0629
core50,clora,2,14,0.9686353903294165,0.6414435389988359,0.0859
core50,clora,1,0,0.0,0.0,0.0
core50,clora,1,1,0.11910309358076616,0.12727272727272726,0.0055
core50,clora,1,2,0.17526541389449982,0.15492957746478872,0.0497
core50,clora,1,3,0.23524712014793703,0.19001085776330076,0.0921
core50,clora,1,4,0.3001214361810065,0.22683982683982684,0.1155
core50,clora,1,5,0.3659956791118599,0.2662057044079516,0.1157
core50,clora,1,6,0.43275261859352043,0.30754162585700295,0.1021
core50,clora,1,7,0.4983025711573911,0.3258426966292135,0.089
core50,clora,1,8,0.5663831183250915,0.36436170212765956,0.0752
core50,clora,1,9,0.6319409457120029,0.38181818181818183,0.066
core50,clora,1,10,0.69884792708124,0.43729903536977494,0.0622
core50,clora,1,11,0.7652794237238657,0.4893238434163701,0.0562
core50,clora,1,12,0.8337648245004508,0.5115384615384615,0.052
core50,clora,1,13,0.9013166881742931,0.5456349206349206,0.0504
core50,clora,1,14,0.9688197799593384,0.6359649122807017,0.0684
core50,clora,0,0,0.0,0.0,0.0
core50,clora,0,1,0.12109198681143828,0.2558139534883721,0.0043
core50,clora,0,2,0.1756090799967448,0.15714285714285714,0.042
core50,clora,0,3,0.23519769483996975,0.17204301075268819,0.093
core50,clora,0,4,0.3003331140494247,0.1899581589958159,0.1195
core50,clora,0,5,0.3663011380219646,0.24934839270199827,0.1151
core50,clora,0,6,0.431838717856426,0.2865612648221344,0.1012
core50,clora,0,7,0.49996990094866073,0.31542857142857145,0.0875
core50,clora,0,8,0.5655437806975746,0.3418230563002681,0.0746
core50,clora,0,9,0.6331103252018013,0.3637873754152824,0.0602
core50,clora,0,10,0.699203925624861,0.3861209964412811,0.0562
core50,clora,0,11,0.7670758998465681,0.342685370741483,0.0499
core50,clora,0,12,0.8359145004383839,0.41058394160583944,0.0548
core50,clora,0,13,0.9004404116899539,0.4935897435897436,0.0624
